"","stnum","st","electionresult","samplesize","raking","_merge"
"1",1,"AL",0.589999973773956,203,0.673067271709442,3
"2",2,"AK",0.600000023841858,0,NA,1
"3",3,"AZ",0.600000023841858,194,0.568979978561401,3
"4",4,"AR",0.560000002384186,121,0.563672184944153,3
"5",5,"CA",0.509999990463257,1493,0.531724572181702,3
"6",6,"CO",0.529999971389771,181,0.599325180053711,3
"7",7,"CT",0.519999980926514,171,0.51958042383194,3
"8",8,"DE",0.560000002384186,39,0.444177985191345,3
"9",9,"DC",0.140000000596046,19,NA,1
"10",10,"FL",0.610000014305115,750,0.623274028301239,3
"11",11,"GA",0.600000023841858,316,0.537511825561523,3
"12",12,"HI",0.449999988079071,0,NA,1
"13",13,"ID",0.620000004768372,42,0.438164353370667,3
"14",14,"IL",0.509999990463257,567,0.49616613984108,3
"15",15,"IN",0.600000023841858,291,0.682632982730865,3
"16",16,"IA",0.449999988079071,143,0.387524157762527,3
"17",17,"KS",0.560000002384186,141,0.658352792263031,3
"18",18,"KY",0.560000002384186,210,0.650196552276611,3
"19",19,"LA",0.540000021457672,196,0.574369788169861,3
"20",20,"ME",0.550000011920929,51,0.553497135639191,3
"21",21,"MD",0.509999990463257,284,0.451036632061005,3
"22",22,"MA",0.449999988079071,373,0.459859013557434,3
"23",23,"MI",0.540000021457672,530,0.523900806903839,3
"24",24,"MN",0.46000000834465,289,0.468302875757217,3
"25",25,"MS",0.600000023841858,220,0.608176231384277,3
"26",26,"MO",0.519999980926514,309,0.44842517375946,3
"27",27,"MT",0.519999980926514,40,0.371520906686783,3
"28",28,"NE",0.600000023841858,125,0.595187127590179,3
"29",29,"NV",0.589999973773956,32,0.512610614299774,3
"30",30,"NH",0.620000004768372,27,0.688475847244263,3
"31",31,"NJ",0.560000002384186,428,0.571948170661926,3
"32",32,"NM",0.519999980926514,109,0.532813906669617,3
"33",33,"NY",0.479999989271164,894,0.456642746925354,3
"34",34,"NC",0.579999983310699,346,0.617115199565887,3
"35",35,"ND",0.560000002384186,60,0.640969574451447,3
"36",36,"OH",0.550000011920929,605,0.626705765724182,3
"37",37,"OK",0.579999983310699,130,0.507764935493469,3
"38",38,"OR",0.469999998807907,149,0.499180406332016,3
"39",39,"PA",0.509999990463257,616,0.49752938747406,3
"40",40,"RI",0.439999997615814,91,0.424054801464081,3
"41",41,"SC",0.620000004768372,223,0.616524398326874,3
"42",42,"SD",0.529999971389771,60,0.505655825138092,3
"43",43,"TN",0.579999983310699,329,0.668284773826599,3
"44",44,"TX",0.560000002384186,788,0.531733453273773,3
"45",45,"UT",0.660000026226044,79,0.812587261199951,3
"46",46,"VT",0.509999990463257,12,0.802643716335297,3
"47",47,"VA",0.600000023841858,354,0.624665796756744,3
"48",48,"WA",0.490000009536743,393,0.473772555589676,3
"49",49,"WV",0.479999989271164,117,0.534502863883972,3
"50",50,"WI",0.479999989271164,389,0.527082324028015,3
"51",51,"WY",0.610000014305115,15,0.568051755428314,3
